,Unnamed: 0,MinCos,Path,Label
0,0,0.1871555215733913,/content/drive/MyDrive/WAV_VAD/1389.wav,1
1,1,0.1999352965674958,/content/drive/MyDrive/WAV_VAD/1390.wav,0
2,2,0.2262859350854679,/content/drive/MyDrive/WAV_VAD/1391.wav,0
3,3,0.2086804545533892,/content/drive/MyDrive/WAV_VAD/1392.wav,0
4,4,0.2248524167687672,/content/drive/MyDrive/WAV_VAD/1393.wav,0
5,5,0.2053721639564963,/content/drive/MyDrive/WAV_VAD/1394.wav,0
6,6,0.2798074353386246,/content/drive/MyDrive/WAV_VAD/1397.wav,1
7,7,0.0082140515204347,/content/drive/MyDrive/WAV_VAD/1399.wav,0
8,8,0.3946563286635981,/content/drive/MyDrive/WAV_VAD/1400.wav,1
9,9,0.2930708443523517,/content/drive/MyDrive/WAV_VAD/1401.wav,1
10,10,-0.1210256294878269,/content/drive/MyDrive/WAV_VAD/1402.wav,0
11,11,0.3436640228624074,/content/drive/MyDrive/WAV_VAD/1403.wav,1
12,12,0.0095296686820919,/content/drive/MyDrive/WAV_VAD/1404.wav,0
13,13,0.3440753382616427,/content/drive/MyDrive/WAV_VAD/1405.wav,1
14,14,0.1858063558716464,/content/drive/MyDrive/WAV_VAD/1406.wav,1
15,15,0.1576359703202015,/content/drive/MyDrive/WAV_VAD/1407.wav,1
16,16,0.0891699487257953,/content/drive/MyDrive/WAV_VAD/1408.wav,0
17,17,0.5789384048157502,/content/drive/MyDrive/WAV_VAD/1409.wav,1
18,18,0.3762153951113923,/content/drive/MyDrive/WAV_VAD/1410.wav,0
19,19,0.066684285803388,/content/drive/MyDrive/WAV_VAD/1411.wav,1
20,20,0.0921252774771571,/content/drive/MyDrive/WAV_VAD/1412.wav,1
21,21,-0.006214146558524,/content/drive/MyDrive/WAV_VAD/1413.wav,0
22,22,0.2729363763257898,/content/drive/MyDrive/WAV_VAD/1414.wav,1
23,23,0.2526858227908617,/content/drive/MyDrive/WAV_VAD/1416.wav,0
24,24,0.2569147498927511,/content/drive/MyDrive/WAV_VAD/1419.wav,1
25,25,0.5072881789932177,/content/drive/MyDrive/WAV_VAD/1420.wav,1
26,26,0.1025172802453558,/content/drive/MyDrive/WAV_VAD/1421.wav,1
